ResourceId,ResourceType,ResourceNote,Property,Value,UserNote,Required,Type,UpdateType,Description,IsOmittable,Filename
BastionIPAddress,AWS::EC2::EIP,,Domain,vpc,,No,String,Replacement,Indicates whether the Elastic IP address is for use with instances in a VPC or instance in EC2-Classic.,False,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,InstanceId,{'Ref': 'BastionHost'},,No,String,Some interruptions,The ID of the instance.,False,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,NetworkBorderGroup,,,No,String,Replacement,Not currently supported by AWS CloudFormation.,True,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,PublicIpv4Pool,,,No,String,Some interruptions,The ID of an address pool that you own. Use this parameter to let Amazon EC2 select an address from the address pool.,True,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,Tags,,,No,List of Tag,No interruption,Any tags assigned to the Elastic IP address.,True,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,Tags[0].Key,,,Yes,String,,"The key name of the tag. You can specify a value that's 1 to 128 Unicode characters in length and can't be prefixed with aws:. You can use any of the following characters: the set of Unicode letters, digits, whitespace, _, ., /, =, +, and -.",True,sample-template.json
BastionIPAddress,AWS::EC2::EIP,,Tags[0].Value,,,Yes,String,,The value for the tag. You can specify a value that's 1 to 256 characters in length.,True,sample-template.json
NATIPAddress,AWS::EC2::EIP,,Domain,vpc,,No,String,Replacement,Indicates whether the Elastic IP address is for use with instances in a VPC or instance in EC2-Classic.,False,sample-template.json
NATIPAddress,AWS::EC2::EIP,,InstanceId,{'Ref': 'NATDevice'},,No,String,Some interruptions,The ID of the instance.,False,sample-template.json
NATIPAddress,AWS::EC2::EIP,,NetworkBorderGroup,,,No,String,Replacement,Not currently supported by AWS CloudFormation.,True,sample-template.json
NATIPAddress,AWS::EC2::EIP,,PublicIpv4Pool,,,No,String,Some interruptions,The ID of an address pool that you own. Use this parameter to let Amazon EC2 select an address from the address pool.,True,sample-template.json
NATIPAddress,AWS::EC2::EIP,,Tags,,,No,List of Tag,No interruption,Any tags assigned to the Elastic IP address.,True,sample-template.json
NATIPAddress,AWS::EC2::EIP,,Tags[0].Key,,,Yes,String,,"The key name of the tag. You can specify a value that's 1 to 128 Unicode characters in length and can't be prefixed with aws:. You can use any of the following characters: the set of Unicode letters, digits, whitespace, _, ., /, =, +, and -.",True,sample-template.json
NATIPAddress,AWS::EC2::EIP,,Tags[0].Value,,,Yes,String,,The value for the tag. You can specify a value that's 1 to 256 characters in length.,True,sample-template.json
BastionHost,AWS::EC2::Instance,,AdditionalInfo,,,No,String,Some interruptions,"This property is reserved for internal use. If you use it, the stack fails with this error: Bad property set: [Testing this property] (Service: AmazonEC2; Status Code: 400; Error Code: InvalidParameterCombination; Request ID: 0XXXXXX-49c7-4b40-8bcc-76885dcXXXXX).",True,sample-template.json
